ID,Amount
10040496,4841
10041126,4841
10041160,4841
10041019,4841
10038155,4841
10038115,4841
10034496,4841
10037640,4841
10040895,4841
10041232,4841
10041097,4841
10036889,4841
10036941,4841
10040665,4841
10039962,4841
10038606,4841
10040989,4841
10038865,5084.25
10040640,5084.25
10040082,5084.25
10039981,5211.75
10039684,5211.75
10040460,5211.75
10034493,16431
10038729,16431
10036888,16431
10039082,5753.25
10038718,5896.75
10040470,5896.75
10037016,5896.75
10031770,5896.75
10037578,5896.75
10039903,6044.5
10037781,19055.5
10033083,6671.5
10038481,6671.5
10039215,6671.5
10019120,6838.5
10036310,6838.5
10033884,7009.75
10012535,7009.75
10036327,22098
10040588,22098
10034932,22098
10030200,7737.5
10038873,7737.5
10033320,7931
10038421,8129
10016139,8129
10034113,8129
10038026,8129
10035950,8129
10039257,8129
10037994,8129
10032413,8129
10040837,8129
10039988,8129
10037025,8129
10037202,8129
10032254,8129
10037497,8129
10040785,8129
10040004,8129
10038818,8129
10037594,8129
10040362,8332
10039137,8332
10039530,8332
10034675,8332
10013763,8332
10037914,8332
10035425,8332
10038429,8332
10035673,8332
10030959,8332
10037926,8332
10041037,8332
10036349,8332
10036561,8332
10036612,8332
10019881,8540.25
10033998,8540.25
10037931,8540.25
10031898,8540.25
10036717,8540.25
10016630,8540.25
10035102,8540.25
10017986,8540.25
10038736,8540.25
10040697,8540.25
10034599,8540.25
10016045,8540.25
10035551,8540.25
10033358,8540.25
10033303,8540.25
10017459,8540.25
10031956,8540.25
10036085,8540.25
10035365,8540.25
10033400,8540.25
10012997,8540.25
10034999,8540.25
10040981,8540.25
10036854,8540.25
10031107,8540.25
10037048,8540.25
10030083,8540.25
10032272,8540.25
10037519,8540.25
10034982,8540.25
10036746,8540.25
10037088,8540.25
10034998,8540.25
10038085,8540.25
10037492,8540.25
10036630,8540.25
10040532,8540.25
10039350,8540.25
10034366,8540.25
10032850,8540.25
10032605,8540.25
10037892,8540.25
10035761,8540.25
10017921,8540.25
10018589,8540.25
10031909,8540.25
10041145,8540.25
10035672,8540.25
10039967,8540.25
10033066,8540.25
10012857,8540.25
10035676,8540.25
10035793,8540.25
10017320,8540.25
10040481,8540.25
10018127,8540.25
10038995,8540.25
10030845,8540.25
10036009,8540.25
10016242,8540.25
10031261,8540.25
10034265,8540.25
10019031,8540.25
10030293,8540.25
10032193,8540.25
10013629,9197.5
10032609,9427.5
10037765,9427.5
10037664,9427.5
10019296,9427.5
10039071,9427.5
10034697,9427.5
10018018,9427.5
10031915,9427.5
10032029,9427.5
10038314,9427.5
10014507,9427.5
10033575,9427.5
10038434,9427.5
10034841,9662.75
10018815,9662.75
10041150,9662.75
10037291,9662.75
10032078,9662.75
10016789,9662.75
10030386,9662.75
10012592,9662.75
10030891,9662.75
10018800,9662.75
10038432,9662.75
10039959,9903.25
10038835,9903.25
10036374,9903.25
10037986,9903.25
10031066,9903.25
10019432,9903.25
10041070,9903.25
10018032,9903.25
10032071,9903.25
10033715,9903.25
10035929,9903.25
10034726,9903.25
10035554,9903.25
10033540,9903.25
10041182,9903.25
10017198,9903.25
10014631,9903.25
10030811,9903.25
10036304,9903.25
10030536,9903.25
10034666,9903.25
10030455,10153
10033498,10153
10032660,10153
10032672,10153
10017943,10153
10032539,10153
10037148,10153
10039436,10153
10040821,10153
10039091,10153
10039525,10153
10035931,10153
10017632,10153
10035040,10153
10030392,10153
10037022,10153
10040407,10153
10040854,10153
10015385,10406
10036594,10406
10019503,10406
10019689,10406
10036371,10406
10040285,10406
10036435,10406
10034354,10406
10041040,10406
10015667,10406
10033347,10406
10039566,10406
10033007,10406
10040595,10406
10019272,10406
10036350,10406
10033665,10406
10014325,10665.75
10036658,10665.75
10039109,10665.75
10038867,10665.75
10019936,10665.75
10036165,10665.75
10030087,10665.75
10019131,10665.75
10040492,10665.75
10034402,10665.75
10035337,10665.75
10035370,10665.75
10034529,10665.75
